2012-04-06 11:21:49 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:23:11 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:25:38 | DEBUG | [Form::toString()] | leaving toString, action set to 
2012-04-06 11:25:38 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:26:02 | DEBUG | [Form::toString()] | leaving toString, action set to 
2012-04-06 11:26:02 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:26:07 | DEBUG | [Form::toString()] | leaving toString, action set to 
2012-04-06 11:26:07 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:26:14 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 11:26:31 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 11:26:31 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 11:26:31 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:26:51 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 11:26:51 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 11:26:51 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:27:06 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 11:27:06 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 11:27:06 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:27:55 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 11:27:55 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 11:27:55 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:28:07 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 11:28:07 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 11:28:07 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:31:34 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 11:31:34 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 11:31:34 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:32:43 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 11:32:43 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 11:32:43 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 11:33:17 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 11:33:17 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 11:33:17 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:02:56 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:02:56 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:02:56 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:03:11 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:03:11 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:03:11 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:03:38 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:03:38 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:03:38 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:03:41 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:03:41 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:03:41 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:04:11 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:04:11 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:04:11 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:04:34 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:04:34 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:04:34 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:04:53 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:04:53 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:04:53 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:05:34 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:05:34 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:05:34 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:06:33 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:06:33 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:06:33 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:17:57 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:17:57 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:17:57 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:18:09 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:18:09 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:18:09 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:18:24 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:18:24 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:18:24 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:18:38 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:18:38 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:18:38 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:24:53 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:24:53 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:24:53 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:25:29 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:25:29 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:25:29 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:26:03 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:26:03 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:26:03 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:26:25 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:26:25 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:26:25 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:27:12 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:27:12 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:27:12 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:27:50 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:27:50 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:27:50 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:28:13 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:28:13 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:28:13 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:28:33 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:28:33 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:28:33 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:28:41 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:28:41 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:28:41 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:29:05 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:29:05 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:29:05 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:30:30 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:30:30 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:30:30 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:31:11 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:31:11 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:31:11 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:31:21 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:31:21 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:31:21 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:31:32 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:31:32 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:31:32 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:33:32 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:33:32 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:33:32 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:34:22 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:34:22 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:34:22 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:34:53 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:34:53 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:34:53 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:35:08 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:35:08 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:35:08 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:35:41 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:35:41 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:35:41 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:36:12 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:36:12 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:36:12 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:41:50 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:41:50 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:41:50 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:42:44 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:42:44 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:42:44 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:44:17 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:44:17 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:44:17 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:44:54 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:44:54 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:44:54 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:45:52 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:45:52 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:45:52 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:47:54 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:47:54 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:47:54 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:49:05 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:49:05 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:49:05 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:49:20 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:49:20 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:49:20 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:49:32 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:49:32 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:49:32 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:49:48 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:49:48 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:49:48 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:50:43 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:50:43 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:50:43 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:51:07 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:51:07 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:51:07 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:51:44 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:51:44 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:51:44 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:51:49 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:51:49 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:51:49 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:51:57 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:51:57 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:51:57 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:52:29 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:52:29 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:52:29 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:55:06 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:55:06 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:55:06 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:56:25 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:56:25 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:56:25 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:56:55 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:56:55 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:56:55 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:57:06 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:57:06 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:57:06 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:57:15 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:57:15 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:57:15 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:00:53 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 13:00:53 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 13:00:53 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:01:14 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 13:01:14 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 13:01:14 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   item
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   Item...
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   description
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   Description (optional)...
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   store
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   Store...
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   shopper
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   shopper
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   date-added
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   hidden
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   04/06/12
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   time-added
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   hidden
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   12:36
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   date-needed
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   04/06/12
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   time-needed
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   12:36
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   submit
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   submit
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   Submit
2012-04-06 13:01:28 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 13:01:28 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 13:01:28 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   item
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   Item...
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   description
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   Description (optional)...
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   store
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   Store...
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   shopper
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   shopper
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   date-added
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   hidden
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   04/06/12
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   time-added
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   hidden
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   12:36
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   date-needed
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   04/06/12
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   time-needed
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   12:36
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   submit
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   submit
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   Submit
2012-04-06 13:03:34 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 13:03:34 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 13:03:34 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:09:34 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 13:09:34 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 13:09:34 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - name:   item
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - value:   Item...
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - name:   description
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - value:   Description (optional)...
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - name:   store
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - value:   Store...
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - name:   shopper
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - value:   shopper
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - name:   date-added
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - type:   hidden
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - value:   04/06/12
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | creating new instance of Input
